matrix	rows	cols	nnz	field	symmetry	kind
TSOPF_RS_b300_c1	14538	14538	1474325	real	general	power network problem
TSOPF_RS_b300_c2	28338	28338	2943887	real	general	power network problem
TSOPF_RS_b300_c3	42138	42138	4413449	real	general	power network problem
TSOPF_RS_b39_c19	38098	38098	684206	real	general	power network problem
TSOPF_RS_b39_c30	60098	60098	1079986	real	general	power network problem
TSOPF_RS_b39_c30_b	60098	19	30053	real	general	
TSOPF_RS_b39_c7	14098	14098	252446	real	general	power network problem
TSOPF_RS_b678_c1	18696	18696	4396289	real	general	power network problem
TSOPF_RS_b678_c2	35696	35696	8781949	real	general	power network problem
Transport	1602111	1602111	23500731	real	general	structural problem
Zd_Jac2	22835	22835	1642833	real	general	chemical process simulation problem
Zd_Jac2_db	22835	22835	676439	real	general	chemical process simulation problem
Zd_Jac3	22835	22835	1916152	real	general	chemical process simulation problem
Zd_Jac3_db	22835	22835	713907	real	general	chemical process simulation problem
Zd_Jac6	22835	22835	1711983	real	general	chemical process simulation problem
Zd_Jac6_db	22835	22835	663643	real	general	chemical process simulation problem
Zhao1	33861	33861	166453	real	general	electromagnetics problem
Zhao2	33861	33861	166453	real	general	electromagnetics problem
adder_dcop_01	1813	1813	11156	real	general	subsequent circuit simulation problem
adder_dcop_02	1813	1813	11246	real	general	subsequent circuit simulation problem
adder_dcop_16	1813	1813	11246	real	general	subsequent circuit simulation problem
adder_dcop_28	1813	1813	11246	real	general	subsequent circuit simulation problem
adder_dcop_36	1813	1813	11246	real	general	subsequent circuit simulation problem
adder_dcop_46	1813	1813	11246	real	general	subsequent circuit simulation problem
adder_trans_01	1814	1814	14579	real	general	circuit simulation problem sequence
adder_trans_02	1814	1814	14579	real	general	subsequent circuit simulation problem
af23560	23560	23560	484256	real	general	computational fluid dynamics problem
airfoil_2d	14214	14214	259688	real	general	computational fluid dynamics problem
appu	14000	14000	1853104	real	general	directed weighted random graph
atmosmodd	1270432	1270432	8814880	real	general	computational fluid dynamics problem
atmosmodj	1270432	1270432	8814880	real	general	computational fluid dynamics problem
atmosmodl	1489752	1489752	10319760	real	general	computational fluid dynamics problem
atmosmodm	1489752	1489752	10319760	integer	general	computational fluid dynamics problem
av41092	41092	41092	1683902	real	general	2D/3D problem
barrier2-1	113076	113076	3805068	real	general	semiconductor device problem sequence
barrier2-10	115625	115625	3897557	real	general	subsequent semiconductor device problem
barrier2-11	115625	115625	3897557	real	general	subsequent semiconductor device problem
barrier2-12	115625	115625	3897557	real	general	subsequent semiconductor device problem
barrier2-2	113076	113076	3805068	real	general	subsequent semiconductor device problem
barrier2-3	113076	113076	3805068	real	general	subsequent semiconductor device problem
barrier2-4	113076	113076	3805068	real	general	subsequent semiconductor device problem
barrier2-9	115625	115625	3897557	real	general	semiconductor device problem sequence
bauru5727	40366	40366	145019	real	general	eigenvalue/model reduction problem
bayer01	57735	57735	277774	real	general	chemical process simulation problem
bayer02	13935	13935	63679	real	general	chemical process simulation problem
bayer04	20545	20545	159082	real	general	chemical process simulation problem
bayer10	13436	13436	94926	real	general	chemical process simulation problem
bbmat	38744	38744	1771722	real	general	computational fluid dynamics problem
bcircuit	68902	68902	375558	real	general	circuit simulation problem
bips07_1693	13275	13275	49044	real	general	eigenvalue/model reduction problem
bips07_1998	15066	15066	62198	real	general	eigenvalue/model reduction problem
bips07_2476	16861	16861	66498	real	general	eigenvalue/model reduction problem
bips07_3078	21128	21128	75729	real	general	eigenvalue/model reduction problem
bips98_1450	11305	11305	44678	real	general	eigenvalue/model reduction problem
blockqp1	60012	60012	340022	real	symmetric	optimization problem
cage10	11397	11397	150645	real	general	directed weighted graph
cage11	39082	39082	559722	real	general	directed weighted graph
cage12	130228	130228	2032536	real	general	directed weighted graph
cage13	445315	445315	7479343	real	general	directed weighted graph
cage14	1505785	1505785	27130349	real	general	directed weighted graph
cage15	5154859	5154859	99199551	real	general	directed weighted graph
chem_master1	40401	40401	201201	real	general	2D/3D problem
chipcool0	20082	20082	281150	real	general	model reduction problem
chipcool1	20082	20082	281150	real	general	model reduction problem
circuit5M	5558326	5558326	59524291	real	general	circuit simulation problem
circuit5M_dc	3523317	3523317	19194193	real	general	circuit simulation problem
circuit_3	12127	12127	48137	real	general	circuit simulation problem
circuit_4	80209	80209	307604	real	general	circuit simulation problem
ckt11752_dc_1	49702	49702	333029	real	general	circuit simulation problem
ckt11752_tr_0	49702	49702	333029	real	general	circuit simulation problem
coupled	11341	11341	98523	real	general	circuit simulation problem
crashbasis	160000	160000	1750416	real	general	optimization problem
cryg10000	10000	10000	49699	real	general	materials problem
cz10228	10228	10228	102876	real	general	2D/3D problem
cz20468	20468	20468	206076	real	general	2D/3D problem
cz40948	40948	40948	412148	real	general	2D/3D problem
dc1	116835	116835	766396	real	general	circuit simulation problem sequence
dc2	116835	116835	766396	real	general	subsequent circuit simulation problem
dc3	116835	116835	766396	real	general	subsequent circuit simulation problem
descriptor_xingo6u	20738	20738	73916	real	general	eigenvalue/model reduction problem
dgreen	1200611	1200611	38259877	real	general	semiconductor device problem
e05r0500	236	236	5856	real	general	
e40r0100	17281	17281	553562	real	general	2D/3D problem
ecl32	51993	51993	380415	real	general	semiconductor device problem
epb1	14734	14734	95053	real	general	thermal problem
epb2	25228	25228	175027	real	general	thermal problem
epb3	84617	84617	463625	real	general	thermal problem
ex11	16614	16614	1096948	real	general	computational fluid dynamics problem
ex19	12005	12005	259879	real	general	computational fluid dynamics problem
ex35	19716	19716	228208	real	general	computational fluid dynamics problem
fd15	11532	11532	44206	real	general	materials problem
fd18	16428	16428	63406	real	general	materials problem
g7jac040	11790	11790	114671	real	general	economic problem
g7jac040sc	11790	11790	114671	real	general	economic problem
g7jac050sc	14760	14760	157990	real	general	economic problem
g7jac060	17730	17730	203316	real	general	economic problem
g7jac060sc	17730	17730	203316	real	general	economic problem
g7jac080	23670	23670	293976	real	general	economic problem
g7jac080sc	23670	23670	293976	real	general	economic problem
g7jac100	29610	29610	384636	real	general	economic problem
g7jac100sc	29610	29610	384636	real	general	economic problem
g7jac120	35550	35550	475296	real	general	economic problem
g7jac120sc	35550	35550	475296	real	general	economic problem
g7jac140	41490	41490	565956	real	general	economic problem
g7jac140sc	41490	41490	565956	real	general	economic problem
g7jac160	47430	47430	656616	real	general	economic problem
g7jac160sc	47430	47430	656616	real	general	economic problem
g7jac180	53370	53370	747276	real	general	economic problem
g7jac180sc	53370	53370	747276	real	general	economic problem
g7jac200	59310	59310	837936	real	general	economic problem
g7jac200sc	59310	59310	837936	real	general	economic problem
garon2	13535	13535	390607	real	general	computational fluid dynamics problem
gre_1107	1107	1107	5664	real	general	directed weighted graph
hcircuit	105676	105676	513072	real	general	circuit simulation problem
hvdc1	24842	24842	159981	real	general	power network problem
hvdc2	189860	189860	1347273	real	general	power network problem
ibm_matrix_2	51448	51448	1056610	real	general	semiconductor device problem
ifiss_mat	96307	96307	3599932	real	general	computational fluid dynamics
igbt3	10938	10938	234006	real	general	semiconductor device problem
imagesensor	118758	118758	1893170	real	general	semiconductor device problem
init_adder1	1813	1813	11156	real	general	circuit simulation problem sequence
init_adder1_6dense_51it_529it	1807	1807	9025	real	general	
inlet	11730	11730	328323	real	general	model reduction problem
invextr1_new	30412	30412	1793881	real	general	computational fluid dynamics problem
jan99jac040	13694	13694	82842	real	general	economic problem
jan99jac040sc	13694	13694	82842	real	general	economic problem
jan99jac060	20614	20614	127182	real	general	economic problem
jan99jac060sc	20614	20614	127182	real	general	economic problem
jan99jac080	27534	27534	171522	real	general	economic problem
jan99jac080sc	27534	27534	171522	real	general	economic problem
jan99jac100	34454	34454	215862	real	general	economic problem
jan99jac100sc	34454	34454	215862	real	general	economic problem
jan99jac120	41374	41374	260202	real	general	economic problem
jan99jac120sc	41374	41374	260202	real	general	economic problem
juba40k	40337	40337	144945	real	general	eigenvalue/model reduction problem
k3plates	11107	11107	378927	real	general	acoustics problem
laminar_duct3D	67173	67173	3833077	real	general	computational fluid dynamics problem
language	399130	399130	1216334	real	general	directed weighted graph
largebasis	440020	440020	5560100	real	general	optimization problem
lhr10	10672	10672	232633	real	general	chemical process simulation problem
lhr10c	10672	10672	232633	real	general	chemical process simulation problem
lhr11	10964	10964	233741	real	general	chemical process simulation problem
lhr11c	10964	10964	233741	real	general	chemical process simulation problem
lhr14	14270	14270	307858	real	general	chemical process simulation problem
lhr14c	14270	14270	307858	real	general	chemical process simulation problem
lhr17	17576	17576	381975	real	general	chemical process simulation problem
lhr17c	17576	17576	381975	real	general	chemical process simulation problem
lhr34	35152	35152	764014	real	general	chemical process simulation problem
lhr34c	35152	35152	764014	real	general	chemical process simulation problem
lhr71	70304	70304	1528092	real	general	chemical process simulation problem
lhr71c	70304	70304	1528092	real	general	chemical process simulation problem
li	22695	22695	1350309	real	general	electromagnetics problem
lp_sc50b	50	78	148	real	general	linear programming problem
lung2	109460	109460	492564	real	general	computational fluid dynamics problem
mac_econ_fwd500	206500	206500	1273389	real	general	economic problem
majorbasis	160000	160000	1750416	real	general	optimization problem
marine1	400320	400320	6226538	real	general	chemical oceanography problem
mark3jac040	18289	18289	113435	real	general	economic problem
mark3jac040sc	18289	18289	113435	real	general	economic problem
mark3jac060	27449	27449	170695	real	general	economic problem
mark3jac060sc	27449	27449	170695	real	general	economic problem
mark3jac080	36609	36609	227955	real	general	economic problem
mark3jac080sc	36609	36609	227955	real	general	economic problem
mark3jac100	45769	45769	285215	real	general	economic problem
mark3jac100sc	45769	45769	285215	real	general	economic problem
mark3jac120	54929	54929	342475	real	general	economic problem
mark3jac120sc	54929	54929	342475	real	general	economic problem
mark3jac140	64089	64089	399735	real	general	economic problem
mark3jac140sc	64089	64089	399735	real	general	economic problem
matrix-new_3	125329	125329	2678750	real	general	semiconductor device problem
matrix_9	103430	103430	2121550	real	general	semiconductor device problem
memchip	2707524	2707524	14810202	real	general	circuit simulation problem
memplus	17758	17758	126150	real	general	circuit simulation problem
mimo28x28_system	13251	13251	48737	real	general	eigenvalue/model reduction problem
mimo46x46_system	13250	13250	48735	real	general	eigenvalue/model reduction problem
mimo8x8_system	13309	13309	48872	real	general	eigenvalue/model reduction problem
mixtank_new	29957	29957	1995041	real	general	computational fluid dynamics problem
mosfet2	46994	46994	1499460	real	general	semiconductor device problem
mult_dcop_01	25187	25187	193276	real	general	circuit simulation problem sequence
mult_dcop_02	25187	25187	193276	real	general	subsequent circuit simulation problem
mult_dcop_03	25187	25187	193216	real	general	subsequent circuit simulation problem
nasa1824	1824	1824	20516	real	symmetric	structural problem
nlpkkt120	3542400	3542400	50194096	real	symmetric	optimization problem
nmos3	18588	18588	386594	real	general	semiconductor device problem
nopss_11k	11685	11685	44941	real	general	eigenvalue/model reduction problem
ns3Da	20414	20414	1679599	real	general	computational fluid dynamics problem
nv1	75468	75468	2449194	real	general	semiconductor device problem
nv2	1453908	1453908	52728362	real	general	semiconductor device problem
nxp1	414604	414604	2656177	real	general	circuit simulation problem
nxp1_mc64_1	414604	414604	2655880	real	general	
ohne2	181343	181343	11063545	real	general	semiconductor device problem
onetone1	36057	36057	341088	real	general	frequency-domain circuit simulation problem
onetone2	36057	36057	227628	real	general	frequency-domain circuit simulation problem
para-10	155924	155924	5416358	real	general	subsequent semiconductor device problem
para-4	153226	153226	5326228	real	general	semiconductor device problem
para-5	155924	155924	5416358	real	general	semiconductor device problem sequence
para-6	155924	155924	5416358	real	general	subsequent semiconductor device problem
para-7	155924	155924	5416358	real	general	subsequent semiconductor device problem
para-8	155924	155924	5416358	real	general	subsequent semiconductor device problem
para-9	155924	155924	5416358	real	general	subsequent semiconductor device problem
patents_main	240547	240547	560943	real	general	directed weighted graph
poisson3Da	13514	13514	352762	real	general	computational fluid dynamics problem
poisson3Db	85623	85623	2374949	real	general	computational fluid dynamics problem
poli3	16955	16955	37849	real	general	economic problem
poli4	33833	33833	73249	real	general	economic problem
poli_large	15575	15575	33074	real	general	economic problem
power197k	197156	197156	3698357	real	general	power network problem
power9	155376	155376	2512300	real	general	semiconductor device problem
powersim	15838	15838	67562	real	general	power network problem
pre2	659033	659033	5959282	real	general	frequency-domain circuit simulation problem
radiation	223104	223104	7637688	real	general	semiconductor device problem
raefsky3	21200	21200	1488768	real	general	computational fluid dynamics problem
rajat04	1041	1041	9642	real	general	circuit simulation problem
rajat12	1879	1879	12926	real	general	circuit simulation problem
rajat14	180	180	1503	real	general	circuit simulation problem
rajat15	37261	37261	443573	real	general	circuit simulation problem
rajat16	94294	94294	641159	real	general	circuit simulation problem
rajat17	94294	94294	641159	real	general	circuit simulation problem
rajat18	94294	94294	485143	real	general	circuit simulation problem
rajat20	86916	86916	605045	real	general	circuit simulation problem
rajat21	411676	411676	1893370	real	general	circuit simulation problem
rajat22	39899	39899	197264	real	general	circuit simulation problem
rajat23	110355	110355	556938	real	general	circuit simulation problem
rajat24	358172	358172	1948235	real	general	circuit simulation problem
rajat25	87190	87190	607235	real	general	circuit simulation problem
rajat26	51032	51032	249302	real	general	circuit simulation problem
rajat27	20640	20640	99777	real	general	circuit simulation problem
rajat28	87190	87190	607235	real	general	circuit simulation problem
rajat29	643994	643994	4866270	real	general	circuit simulation problem
rajat30	643994	643994	6175377	real	general	circuit simulation problem
rajat30_mc64_5	643994	643994	6175244	real	general	
rajat31	4690002	4690002	20316253	real	general	circuit simulation problem
rim	22560	22560	1014951	real	general	computational fluid dynamics problem
rma10	46835	46835	2374001	real	general	computational fluid dynamics problem
scircuit	170998	170998	958936	real	general	circuit simulation problem
shar_te2-b3	200200	200200	800800	real	general	combinatorial problem
shermanACb	18510	18510	145149	real	general	2D/3D problem
shyy161	76480	76480	329762	real	general	computational fluid dynamics problem
sinc15	11532	11532	568526	real	general	materials problem
sinc18	16428	16428	973826	real	general	materials problem
sme3Da	12504	12504	874887	real	general	structural problem
sme3Db	29067	29067	2081063	real	general	structural problem
sme3Dc	42930	42930	3148656	real	general	structural problem
ss	1652680	1652680	34753577	real	general	semiconductor process problem
ss1	205282	205282	845089	real	general	semiconductor process problem
std1_Jac2	21982	21982	1248731	real	general	chemical process simulation problem
std1_Jac2_db	21982	21982	498771	real	general	chemical process simulation problem
std1_Jac3	21982	21982	1455848	real	general	chemical process simulation problem
std1_Jac3_db	21982	21982	531826	real	general	chemical process simulation problem
stomach	213360	213360	3021648	real	general	2D/3D problem
ted_A	10605	10605	424587	real	general	thermal problem
ted_A_unscaled	10605	10605	424587	real	general	thermal problem
test1	392908	392908	12968200	real	general	semiconductor device problem
thermomech_dK	204316	204316	2846228	real	general	thermal problem
tmt_unsym	917825	917825	4584801	real	general	electromagnetics problem
torso1	116158	116158	8516500	real	general	2D/3D problem
torso2	115967	115967	1033473	real	general	2D/3D problem
torso3	259156	259156	4429042	real	general	2D/3D problem
trans4	116835	116835	766396	real	general	circuit simulation problem sequence
trans5	116835	116835	766396	real	general	subsequent circuit simulation problem
transient	178866	178866	961790	real	general	circuit simulation problem
twotone	120750	120750	1224224	real	general	frequency-domain circuit simulation problem
vas_stokes_1M	1090664	1090664	34767207	real	general	semiconductor process problem
venkat01	62424	62424	1717792	real	general	computational fluid dynamics problem sequence
venkat25	62424	62424	1717792	real	general	subsequent computational fluid dynamics problem
venkat50	62424	62424	1717792	real	general	subsequent computational fluid dynamics problem
viscoplastic2	32769	32769	381326	real	general	materials problem
viscoplastic2_C_1	32769	32769	381326	real	general	
viscoplastic2_C_2	32769	32769	381326	real	general	
viscoplastic2_C_3	32769	32769	381326	real	general	
viscoplastic2_C_4	32769	32769	381326	real	general	
viscoplastic2_C_5	32769	32769	381326	real	general	
viscoplastic2_C_6	32769	32769	381326	real	general	
viscoplastic2_C_7	32769	32769	381326	real	general	
viscorocks	37762	37762	1162244	real	general	materials problem
wang3	26064	26064	177168	real	general	semiconductor device problem
wang4	26068	26068	177196	real	general	semiconductor device problem
water_tank	60740	60740	2035281	real	general	computational fluid dynamics problem
webbase-1M	1000005	1000005	3105536	real	general	weighted directed graph
windtunnel_evap3d	40816	40816	2730600	real	general	computational fluid dynamics problem
ww_vref_6405	13251	13251	48737	real	general	eigenvalue/model reduction problem
xenon1	48600	48600	1181120	real	general	materials problem
xenon2	157464	157464	3866688	real	general	materials problem
xingo3012	20944	20944	74386	real	general	eigenvalue/model reduction problem
xingo_afonso_itaipu	13250	13250	48735	real	general	eigenvalue/model reduction problem
zeros_nopss_13k	13296	13296	48827	real	general	eigenvalue/model reduction problem
